GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RLZE001,RLZE002,RLZE003,RLZE004,RLZE005,RLZE006,RLZE007,RLZE008,RLZE009,RLZE010,RLZE011,RLZE012,RLZE013,RLZE014,RLZE015,RLZE016,RLZE017,RLZE018,RLZE019,RLZE020,RLZE021,NAME_M,RLZM001,RLZM002,RLZM003,RLZM004,RLZM005,RLZM006,RLZM007,RLZM008,RLZM009,RLZM010,RLZM011,RLZM012,RLZM013,RLZM014,RLZM015,RLZM016,RLZM017,RLZM018,RLZM019,RLZM020,RLZM021
"G38900","2005-2009","US",,,,,,,,,,,,,,,,"Portland-Vancouver-Beaverton, OR-WA Metro Area","38900",,,,,,,,,,,,,,,,"31000US38900","Portland-Vancouver-Beaverton, OR-WA Metro Area",1050205,860878,750857,110021,90153,13628,3822,1238,1180,65775,53088,5429,3969,3201,88,290,3436,19011,34005,6565,60245,"Portland-Vancouver-Beaverton, OR-WA Metro Area",4471,4903,5313,2677,2366,1030,457,288,262,1871,1666,663,439,435,63,142,386,1128,1509,571,2027
"G38940","2005-2009","US",,,,,,,,,,,,,,,,"Port St. Lucie, FL Metro Area","38940",,,,,,,,,,,,,,,,"31000US38940","Port St. Lucie, FL Metro Area",159480,147877,130541,17336,12289,2412,1177,782,676,581,508,7,19,47,0,34,456,1044,1636,830,7022,"Port St. Lucie, FL Metro Area",1997,2174,2160,1112,944,448,359,394,366,186,183,12,26,40,136,38,151,315,384,193,682
"G39020","2005-2009","US",,,,,,,,,,,,,,,,"Portsmouth, OH Micro Area","39020",,,,,,,,,,,,,,,,"31000US39020","Portsmouth, OH Micro Area",27479,25783,22907,2876,2254,434,140,29,19,92,92,0,0,0,0,12,18,39,777,144,614,"Portsmouth, OH Micro Area",852,850,817,372,346,157,82,24,28,70,70,119,119,119,119,19,28,58,246,72,140
"G39060","2005-2009","US",,,,,,,,,,,,,,,,"Pottsville, PA Micro Area","39060",,,,,,,,,,,,,,,,"31000US39060","Pottsville, PA Micro Area",63470,58655,50151,8504,6291,1305,598,199,111,319,276,9,34,0,0,0,84,74,2564,165,1609,"Pottsville, PA Micro Area",849,907,898,532,484,231,129,70,61,141,112,14,52,109,109,109,45,45,348,70,260
"G39100","2005-2009","US",,,,,,,,,,,,,,,,"Poughkeepsie-Newburgh-Middletown, NY Metro Area","39100",,,,,,,,,,,,,,,,"31000US39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area",309504,260685,230367,30318,23816,3482,1219,1015,786,15518,6734,105,1008,7652,19,2449,233,753,13287,1692,14887,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",2525,2683,2651,1501,1299,476,337,299,328,1035,787,66,227,689,17,522,105,236,866,371,967
"G39140","2005-2009","US",,,,,,,,,,,,,,,,"Prescott, AZ Metro Area","39140",,,,,,,,,,,,,,,,"31000US39140","Prescott, AZ Metro Area",86285,74775,63705,11070,9289,885,339,402,155,91,91,0,0,0,0,118,303,413,3025,947,6613,"Prescott, AZ Metro Area",1683,1694,1664,1007,866,220,141,347,104,55,55,132,132,132,132,100,124,202,1312,277,699
"G39220","2005-2009","US",,,,,,,,,,,,,,,,"Price, UT Micro Area","39220",,,,,,,,,,,,,,,,"31000US39220","Price, UT Micro Area",8031,7096,5934,1162,679,180,179,81,43,26,26,0,0,0,0,0,18,94,348,106,343,"Price, UT Micro Area",287,344,330,173,151,60,76,49,28,29,29,119,119,119,119,119,21,75,137,75,122
"G39260","2005-2009","US",,,,,,,,,,,,,,,,"Prineville, OR Micro Area","39260",,,,,,,,,,,,,,,,"31000US39260","Prineville, OR Micro Area",9677,8277,7115,1162,943,75,110,20,14,12,12,0,0,0,0,0,68,51,350,123,796,"Prineville, OR Micro Area",447,497,537,243,222,61,109,24,23,19,19,123,123,123,123,123,58,43,144,97,290
"G39300","2005-2009","US",,,,,,,,,,,,,,,,"Providence-New Bedford-Fall River, RI-MA Metro Area","39300",,,,,,,,,,,,,,,,"31000US39300","Providence-New Bedford-Fall River, RI-MA Metro Area",770058,694354,623804,70550,55350,8845,3596,1453,1306,20665,12519,199,1103,6768,76,604,744,1958,21446,6644,23643,"Providence-New Bedford-Fall River, RI-MA Metro Area",3752,4545,4492,2401,1892,1066,703,351,232,1146,922,106,255,632,43,184,175,389,1070,783,1562
"G39340","2005-2009","US",,,,,,,,,,,,,,,,"Provo-Orem, UT Metro Area","39340",,,,,,,,,,,,,,,,"31000US39340","Provo-Orem, UT Metro Area",222330,189642,160701,28941,22624,3779,1392,687,459,4583,4496,43,30,14,0,0,1238,2085,10693,1192,12897,"Provo-Orem, UT Metro Area",2420,2483,2429,1403,1226,525,270,254,139,570,571,65,27,17,119,119,289,338,824,266,843
"G39380","2005-2009","US",,,,,,,,,,,,,,,,"Pueblo, CO Metro Area","39380",,,,,,,,,,,,,,,,"31000US39380","Pueblo, CO Metro Area",63607,58541,50441,8100,6111,1119,551,144,175,336,323,0,0,13,0,39,253,319,1128,552,2439,"Pueblo, CO Metro Area",1322,1380,1366,735,629,258,180,100,109,125,119,123,123,22,123,57,91,127,228,163,327
